Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8342580k(2180140k free), swap 10043876k(2216296k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC -XX:+UseParallelOldGC 
2017-11-18T17:26:42.317+0300: 6.841: [GC (Allocation Failure) [PSYoungGen: 150112K->1632K(161280K)] 210386K->63402K(510976K), 0.0182239 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.406+0300: 6.931: [GC (Allocation Failure) [PSYoungGen: 150112K->1568K(162816K)] 211882K->64826K(512512K), 0.0196731 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.488+0300: 7.012: [GC (Allocation Failure) [PSYoungGen: 152096K->1632K(162304K)] 215354K->66410K(512000K), 0.0209050 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.569+0300: 7.093: [GC (Allocation Failure) [PSYoungGen: 152160K->1664K(163840K)] 216938K->67970K(513536K), 0.0212950 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.651+0300: 7.175: [GC (Allocation Failure) [PSYoungGen: 154240K->1568K(163328K)] 220546K->85442K(513024K), 0.0217243 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.734+0300: 7.259: [GC (Allocation Failure) [PSYoungGen: 154144K->1696K(164864K)] 238018K->86978K(514560K), 0.0192744 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.816+0300: 7.341: [GC (Allocation Failure) [PSYoungGen: 156320K->1696K(164352K)] 241602K->88530K(514048K), 0.0207511 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.900+0300: 7.424: [GC (Allocation Failure) [PSYoungGen: 156320K->1696K(165888K)] 243154K->90122K(515584K), 0.0205751 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:42.984+0300: 7.508: [GC (Allocation Failure) [PSYoungGen: 158368K->1728K(165376K)] 246794K->91730K(515072K), 0.0209666 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.076+0300: 7.601: [GC (Allocation Failure) [PSYoungGen: 158400K->1728K(166912K)] 248402K->93322K(516608K), 0.0206895 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.161+0300: 7.686: [GC (Allocation Failure) [PSYoungGen: 160448K->1664K(166400K)] 252042K->94858K(516096K), 0.0219534 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.249+0300: 7.773: [GC (Allocation Failure) [PSYoungGen: 160384K->1728K(167936K)] 253578K->96538K(517632K), 0.0216567 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.337+0300: 7.862: [GC (Allocation Failure) [PSYoungGen: 162496K->1696K(167424K)] 257306K->98130K(517120K), 0.0210255 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.426+0300: 7.951: [GC (Allocation Failure) [PSYoungGen: 162464K->1696K(168448K)] 258898K->99746K(518144K), 0.0222709 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.515+0300: 8.039: [GC (Allocation Failure) [PSYoungGen: 163488K->1792K(167936K)] 261538K->101474K(517632K), 0.0214176 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.601+0300: 8.125: [GC (Allocation Failure) [PSYoungGen: 163584K->1696K(168960K)] 263266K->103034K(518656K), 0.0228137 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2017-11-18T17:26:43.689+0300: 8.214: [GC (Allocation Failure) [PSYoungGen: 164512K->1728K(168448K)] 265850K->104722K(518144K), 0.0229227 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
