Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8342580k(2185872k free), swap 10043876k(2198336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2017-11-18T17:28:07.722+0300: 6.371: [GC (Allocation Failure) 2017-11-18T17:28:07.722+0300: 6.371: [DefNew: 148114K->9642K(157248K), 0.0303394 secs] 180931K->53143K(506816K), 0.0304007 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2017-11-18T17:28:07.810+0300: 6.459: [GC (Allocation Failure) 2017-11-18T17:28:07.810+0300: 6.460: [DefNew: 149418K->9636K(157248K), 0.0233830 secs] 192919K->54535K(506816K), 0.0236683 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:07.891+0300: 6.541: [GC (Allocation Failure) 2017-11-18T17:28:07.891+0300: 6.541: [DefNew: 149412K->9694K(157248K), 0.0222649 secs] 194311K->55942K(506816K), 0.0223268 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:07.971+0300: 6.621: [GC (Allocation Failure) 2017-11-18T17:28:07.971+0300: 6.621: [DefNew: 149470K->9699K(157248K), 0.0218499 secs] 195718K->57333K(506816K), 0.0219096 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.050+0300: 6.699: [GC (Allocation Failure) 2017-11-18T17:28:08.050+0300: 6.699: [DefNew: 149475K->9693K(157248K), 0.0212827 secs] 197109K->58725K(506816K), 0.0213448 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.129+0300: 6.778: [GC (Allocation Failure) 2017-11-18T17:28:08.129+0300: 6.778: [DefNew: 149469K->9702K(157248K), 0.0209805 secs] 198501K->60132K(506816K), 0.0210436 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.206+0300: 6.856: [GC (Allocation Failure) 2017-11-18T17:28:08.207+0300: 6.856: [DefNew: 149478K->9695K(157248K), 0.0201682 secs] 199908K->61523K(506816K), 0.0202584 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.284+0300: 6.934: [GC (Allocation Failure) 2017-11-18T17:28:08.284+0300: 6.934: [DefNew: 149471K->9796K(157248K), 0.0200351 secs] 201299K->62930K(506816K), 0.0200942 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.364+0300: 7.014: [GC (Allocation Failure) 2017-11-18T17:28:08.364+0300: 7.014: [DefNew: 149572K->9790K(157248K), 0.0197006 secs] 202706K->64322K(506816K), 0.0197577 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.441+0300: 7.091: [GC (Allocation Failure) 2017-11-18T17:28:08.441+0300: 7.091: [DefNew: 149566K->9768K(157248K), 0.0191968 secs] 204098K->65697K(506816K), 0.0192596 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.518+0300: 7.168: [GC (Allocation Failure) 2017-11-18T17:28:08.518+0300: 7.168: [DefNew: 149544K->9777K(157248K), 0.0192798 secs] 205473K->67104K(506816K), 0.0193405 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.593+0300: 7.243: [GC (Allocation Failure) 2017-11-18T17:28:08.593+0300: 7.243: [DefNew: 149553K->9633K(157248K), 0.0376764 secs] 206880K->84382K(506816K), 0.0377386 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2017-11-18T17:28:08.688+0300: 7.339: [GC (Allocation Failure) 2017-11-18T17:28:08.688+0300: 7.339: [DefNew: 149409K->9627K(157248K), 0.0232360 secs] 224158K->85774K(506816K), 0.0232985 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.769+0300: 7.419: [GC (Allocation Failure) 2017-11-18T17:28:08.769+0300: 7.419: [DefNew: 149403K->9620K(157248K), 0.0221194 secs] 225550K->87165K(506816K), 0.0221816 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.849+0300: 7.499: [GC (Allocation Failure) 2017-11-18T17:28:08.849+0300: 7.499: [DefNew: 149396K->9629K(157248K), 0.0227237 secs] 226941K->88572K(506816K), 0.0227874 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:08.929+0300: 7.578: [GC (Allocation Failure) 2017-11-18T17:28:08.929+0300: 7.578: [DefNew: 149405K->9623K(157248K), 0.0209690 secs] 228348K->89963K(506816K), 0.0210312 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.007+0300: 7.657: [GC (Allocation Failure) 2017-11-18T17:28:09.007+0300: 7.657: [DefNew: 149399K->9651K(157248K), 0.0212642 secs] 229739K->91370K(506816K), 0.0213968 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.087+0300: 7.736: [GC (Allocation Failure) 2017-11-18T17:28:09.087+0300: 7.736: [DefNew: 149427K->9645K(157248K), 0.0198853 secs] 231146K->92762K(506816K), 0.0199515 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.163+0300: 7.813: [GC (Allocation Failure) 2017-11-18T17:28:09.163+0300: 7.813: [DefNew: 149421K->9799K(157248K), 0.0194326 secs] 232538K->94169K(506816K), 0.0194966 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.239+0300: 7.889: [GC (Allocation Failure) 2017-11-18T17:28:09.239+0300: 7.889: [DefNew: 149575K->9793K(157248K), 0.0194519 secs] 233945K->95560K(506816K), 0.0195150 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.316+0300: 7.966: [GC (Allocation Failure) 2017-11-18T17:28:09.316+0300: 7.966: [DefNew: 149569K->9787K(157248K), 0.0195319 secs] 235336K->96952K(506816K), 0.0195913 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.393+0300: 8.043: [GC (Allocation Failure) 2017-11-18T17:28:09.393+0300: 8.043: [DefNew: 149563K->9788K(157248K), 0.0192031 secs] 236728K->98351K(506816K), 0.0192644 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.470+0300: 8.120: [GC (Allocation Failure) 2017-11-18T17:28:09.470+0300: 8.120: [DefNew: 149564K->9782K(157248K), 0.0196411 secs] 238127K->99742K(506816K), 0.0197033 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.547+0300: 8.197: [GC (Allocation Failure) 2017-11-18T17:28:09.547+0300: 8.197: [DefNew: 149558K->9775K(157248K), 0.0193556 secs] 239518K->101134K(506816K), 0.0194160 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.623+0300: 8.273: [GC (Allocation Failure) 2017-11-18T17:28:09.623+0300: 8.273: [DefNew: 149551K->9785K(157248K), 0.0193809 secs] 240910K->102541K(506816K), 0.0194422 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.700+0300: 8.350: [GC (Allocation Failure) 2017-11-18T17:28:09.700+0300: 8.351: [DefNew: 149561K->9779K(157248K), 0.0190712 secs] 242317K->103933K(506816K), 0.0191325 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.775+0300: 8.425: [GC (Allocation Failure) 2017-11-18T17:28:09.775+0300: 8.425: [DefNew: 149555K->9558K(157248K), 0.0462323 secs] 243709K->129146K(506816K), 0.0463174 secs] [Times: user=0.03 sys=0.01, real=0.05 secs] 
2017-11-18T17:28:09.879+0300: 8.528: [GC (Allocation Failure) 2017-11-18T17:28:09.879+0300: 8.529: [DefNew: 149334K->9551K(157248K), 0.0231231 secs] 268922K->130538K(506816K), 0.0231853 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:09.959+0300: 8.609: [GC (Allocation Failure) 2017-11-18T17:28:09.959+0300: 8.609: [DefNew: 149327K->9569K(157248K), 0.0223944 secs] 270314K->131945K(506816K), 0.0224554 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.039+0300: 8.689: [GC (Allocation Failure) 2017-11-18T17:28:10.039+0300: 8.689: [DefNew: 149345K->9563K(157248K), 0.0217424 secs] 271721K->133336K(506816K), 0.0218028 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.118+0300: 8.768: [GC (Allocation Failure) 2017-11-18T17:28:10.118+0300: 8.768: [DefNew: 149339K->9572K(157248K), 0.0211375 secs] 273112K->134743K(506816K), 0.0211993 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.198+0300: 8.848: [GC (Allocation Failure) 2017-11-18T17:28:10.198+0300: 8.848: [DefNew: 149348K->9566K(157248K), 0.0208700 secs] 274519K->136135K(506816K), 0.0209201 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:10.277+0300: 8.927: [GC (Allocation Failure) 2017-11-18T17:28:10.277+0300: 8.927: [DefNew: 149342K->9560K(157248K), 0.0196040 secs] 275911K->137526K(506816K), 0.0196689 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
